SampleName,DFT,Oscillator Strength,dipole moment,Excitation energie,solvent,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,HOMO,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_L,Length_Ratio,ESPmin,ESPmax,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,SampleName
A38e,435.25,0.7346,10.5264,2.8486,2.38,4.12,4.81,4.005,0.5293628245353085,-0.244135,-0.026738,0.217396,60,8.91,8.742,16.416,0.4016834687285895,-29.00549,23.50178,0.24657048,0.01707175,0.46739904,43.65,56.35,A38e
R20e,400.24,0.9533,12.5608,3.0977,1.9,9.46,7.32,8.995000000000001,1.4208888063462248,-0.271198,-0.05238,0.218817,61,11.196,11.284,22.108,0.462123745819398,-38.07355,27.93934,0.16155007,0.01239999,0.38068434,66.24,33.76,R20e
R21e,461.37,1.0354,15.7257,2.6873,1.9,8.99,6.21,9.3075,2.0116954913704013,-0.274839,-0.063358,0.211481,63,11.162,11.242,21.987,0.4568252649075421,-36.5909,32.54787,0.16548552,0.01433759,0.45169774,56.92,43.08,R21e
R29e,412.05,0.6598,8.9497,3.009,1.9,9.22,7.31,8.8675,1.320537295951917,-0.27183,-0.057649,0.214181,95,11.498,14.388,22.31,0.43146962693639157,-35.46477,22.54035,0.16448635,0.0108153,0.32538882,74.62,25.38,R29e
Y21e,455.31,0.8305,12.4494,2.7231,1.9,5.01,4.12,4.9625,0.743954803734743,-0.263954,-0.049339,0.214616,156,16.297,14.225,31.835,0.45490268926295335,-37.73294,30.19621,0.18520655,0.00927809,0.26762431,86.18,13.82,Y21e
B3e,510,1.0053,16.9124,2.4263,1.9,6.92,6.49,8.01,1.6643767602318893,-0.2738,-0.070472,0.203329,63,11.238,10.493,21.79,0.48917923850574707,-37.34494,28.99133,0.17385643,0.01326265,0.38669213,64.32,35.68,B3e
G6e,568.03,0.6636,12.4088,2.1827,1.9,4.16,3.29,4.4625,1.2612369920042783,-0.255138,-0.065569,0.189569,86,10.19,7.659,20.081,0.46287716386603045,-35.28826,19.62761,0.14662107,0.01442575,0.40297923,62.62,37.38,G6e
O10e,427.91,0.753,10.608,2.8974,1.9,5.08,4.22,5.53,1.7586642658563343,-0.270718,-0.049403,0.221315,44,8.023,6.872,15.963,0.4387247492098392,-36.31323,28.57579,0.24996434,0.01283591,0.34919859,76.24,23.76,O10e
O6e,373.65,1.844,22.683,3.3182,1.9,5.25,7.32,8.915000000000001,3.4335149628332773,-0.273412,-0.024853,0.24856,113,13.572,10.108,25.724,0.5295401210424472,-44.62297,64.3113,0.2467301,0.01432405,0.39103629,66.85,33.15,O6e
O8e,448,0.9603,14.1634,2.7675,1.9,4.83,4,4.915,1.3633139770427063,-0.281352,-0.066323,0.215029,61,10.162,7.855,20.13,0.5234826025901077,-40.70969,34.53849,0.20041522,0.01680508,0.46155341,58.01,41.99,O8e
