SampleName,SMILES,abs,DFT,dipole moment,Excitation energie,solvent,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,HOMO,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_L,Length_Ratio,ESPmin,ESPmax,Nu,Pi,MPI,Nonpolar_Area,Polar_Area
10e,CC1=CC=C(S(=O)(NC2=C(OC)C=C(N)C3=C2C(C4=C(C3=O)C=CC=C4)=O)=O)C=C1,551,513.87,2.169,2.4128,2.38,9.34,7.51,8.495000000000001,1.8142560458766566,-0.224059,-0.116964,0.107095,43,7.08,8.087,14.153,0.42762183883735694,-47.61359,54.80643,0.20488803,0.02498387,0.68878889,35.77,64.23
11e,OC1=CC2=C(C=C1)C3=C(C2)C=C([N+]([O-])=O)C=C3,435,406.85,7.9417,3.0474,2.38,8.43,14,10.0175,2.700401590504642,-0.228954,-0.105118,0.123836,26,6.849,4.162,13.686,0.5406494429959706,-43.44637,66.51861,0.24408663,0.0230668,0.64648916,42.24,57.76
13e,OC1=CC=C(/N=N/C(C=C2)=C([N+]([O-])=O)C=C2C3=CC=C(/N=N/C4=CC=C(O)C=C4)C([N+]([O-])=O)=C3)C=C1,392,442.5,15.1685,2.8019,2.38,3.5,4.23,4.485,0.6764798592715086,-0.231218,-0.116288,0.11493,52,12.828,6.66,25.586,0.622666764011584,-39.14753,68.31705,0.24525725,0.02239004,0.60968764,47.33,52.67
15e,CNC1=CC(S2)=C(N=C(C2=C3)C=CC3=N)C=C1,617,506.79,11.9129,2.4464,2.38,7.62,8.3,9.637500000000001,2.7959468431999923,-0.199327,-0.105308,0.09402,28,7.386,4.182,14.721,0.5521341234716075,-59.35255,64.74411,0.2495635,0.02793273,0.75711662,37.9,62.1
17e,COC1=CC(S2)=C(N=C(C2=C(NC(C)=O)C3=O)C4=C3C=CC=C4)C=C1,486,481.7,8.2092,2.5739,2.38,6.38,7.67,7.0375000000000005,0.9509830440128784,-0.225311,-0.118958,0.106353,32,7.931,6.195,15.162,0.45074023425887383,-53.50381,36.54482,0.174805,0.02224734,0.62461409,50.89,49.11
18e,CC1=CC=C(NC2=CC=C(O)C(C(C3=C4C=CC=C3)=O)=C2C4=O)C=C1,582,591.98,2.2491,2.0944,2.38,8.42,7.3,6.8925,1.0688632980882071,-0.202024,-0.106437,0.095587,39,6.989,6.676,13.403,0.41918433727403515,-52.71814,61.91854,0.24825797,0.02177284,0.59094478,53.59,46.41
19e,CC1=CC(O)=CC=C1C(C=C2O)=C(N)C(C(C3=C4C(N)=CC=C3O)=O)=C2C4=O,614,584.83,9.7596,2.12,2.38,6.1,5.51,5.6625,0.25272267409158194,-0.19891,-0.110285,0.088625,38,8.478,7.824,16.908,0.48976044955536885,-31.96254,61.9177,0.2141155,0.01837375,0.49627076,57.7,42.3
20e,CC1=CC=C(O)C(C(C=C2O)=C(N)C(C(C3=C4C(N)=CC=C3O)=O)=C2C4=O)=C1,605,587.84,9.9042,2.1091,2.38,6.12,5.48,5.5649999999999995,0.3853245385386194,-0.196214,-0.108056,0.088158,36,8.263,8.039,16.381,0.48115729181965045,-33.77177,63.11942,0.22468392,0.02094019,0.56976078,47.51,52.49
21e,[O-][N+](C(S1)=CC=C1/C=N/C2=CC(C(F)(F)F)=CC=C2N3CCCC3)=O,494,625.41,8.0759,1.9825,2.38,9.59,9.06,8.482500000000002,0.8734808240596927,-0.210298,-0.12529,0.085008,24,7.651,5.623,15.277,0.4691232918777829,-39.96235,34.30443,0.22910056,0.02084728,0.61646116,35.39,64.61
22e,CC(C1=CC=C(/N=N/C2=CC=C(N3CCOCC3)C=C2)C=C1)=O,520,455.12,18.7578,2.7242,2.38,9.19,8.39,13.907499999999999,8.656091424540293,-0.212257,-0.101569,0.110688,38,9.694,5.715,19.488,0.601351559848181,-43.7072,30.32678,0.22294197,0.02028291,0.55740262,42.06,57.94
